name,dex,type,color,shape,hp,attack,defense,sp_attack,sp_defense,speed
cyndaquil,155,['fire'],yellow,humanoid,39,52,43,60,50,65
quilava,156,['fire'],yellow,quadruped,58,64,58,80,65,80
typhlosion,157,['fire'],yellow,quadruped,78,84,78,109,85,100
totodile,158,['water'],blue,upright,50,65,64,44,48,43
croconaw,159,['water'],blue,upright,65,80,80,59,63,58
feraligatr,160,['water'],blue,upright,85,105,100,79,83,78
sentret,161,['normal'],brown,quadruped,35,46,34,35,45,20
furret,162,['normal'],brown,quadruped,85,76,64,45,55,90
hoothoot,163,"['normal', 'flying']",brown,wings,60,30,30,36,56,50
noctowl,164,"['normal', 'flying']",brown,wings,100,50,50,86,96,70
ledyba,165,"['bug', 'flying']",red,wings,40,20,30,40,80,55
ledian,166,"['bug', 'flying']",red,wings,55,35,50,55,110,85
spinarak,167,"['bug', 'poison']",green,armor,40,60,40,40,40,30
ariados,168,"['bug', 'poison']",red,armor,70,90,70,60,70,40
crobat,169,"['poison', 'flying']",purple,bug-wings,85,90,80,70,80,130
chinchou,170,"['water', 'electric']",blue,fish,75,38,38,56,56,67
lanturn,171,"['water', 'electric']",blue,fish,125,58,58,76,76,67
pichu,172,['electric'],yellow,quadruped,20,40,15,35,35,60
cleffa,173,['fairy'],pink,upright,50,25,28,45,55,15
igglybuff,174,"['normal', 'fairy']",pink,humanoid,90,30,15,40,20,15
togepi,175,['fairy'],white,humanoid,35,20,65,40,65,20
togetic,176,"['fairy', 'flying']",white,humanoid,55,40,85,80,105,40
natu,177,"['psychic', 'flying']",green,wings,40,50,45,70,45,70
xatu,178,"['psychic', 'flying']",green,wings,65,75,70,95,70,95
mareep,179,['electric'],white,quadruped,55,40,40,65,45,35
flaaffy,180,['electric'],pink,upright,70,55,55,80,60,45
ampharos,181,['electric'],yellow,upright,90,75,85,115,90,55
bellossom,182,['grass'],green,humanoid,75,80,95,90,100,50
marill,183,"['water', 'fairy']",blue,upright,70,20,50,20,50,40
azumarill,184,"['water', 'fairy']",blue,upright,100,50,80,60,80,50
sudowoodo,185,['rock'],brown,humanoid,70,100,115,30,65,30
politoed,186,['water'],green,humanoid,90,75,75,90,100,70
hoppip,187,"['grass', 'flying']",pink,upright,35,35,40,35,55,50
skiploom,188,"['grass', 'flying']",green,upright,55,45,50,45,65,80
jumpluff,189,"['grass', 'flying']",blue,upright,75,55,70,55,95,110
aipom,190,['normal'],purple,upright,55,70,55,40,55,85
sunkern,191,['grass'],yellow,ball,30,30,30,30,30,30
sunflora,192,['grass'],yellow,humanoid,75,75,55,105,85,30
yanma,193,"['bug', 'flying']",red,bug-wings,65,65,45,75,45,95
wooper,194,"['water', 'ground']",blue,legs,55,45,45,25,25,15
quagsire,195,"['water', 'ground']",blue,upright,95,85,85,65,65,35
espeon,196,['psychic'],purple,quadruped,65,65,60,130,95,110
umbreon,197,['dark'],black,quadruped,95,65,110,60,130,65
murkrow,198,"['dark', 'flying']",black,wings,60,85,42,85,42,91
slowking,199,"['water', 'psychic']",pink,upright,95,75,80,100,110,30
misdreavus,200,['ghost'],gray,ball,60,60,60,85,85,85
unown,201,['psychic'],black,ball,48,72,48,72,48,48
wobbuffet,202,['psychic'],blue,blob,190,33,58,33,58,33
girafarig,203,"['normal', 'psychic']",yellow,quadruped,70,80,65,90,65,85
pineco,204,['bug'],gray,ball,50,65,90,35,35,15
forretress,205,"['bug', 'steel']",purple,ball,75,90,140,60,60,40
dunsparce,206,['normal'],yellow,squiggle,100,70,70,65,65,45
gligar,207,"['ground', 'flying']",purple,wings,65,75,105,35,65,85
steelix,208,"['steel', 'ground']",gray,squiggle,75,85,200,55,65,30
snubbull,209,['fairy'],pink,humanoid,60,80,50,40,40,30
granbull,210,['fairy'],purple,upright,90,120,75,60,60,45
qwilfish,211,"['water', 'poison']",gray,fish,65,95,85,55,55,85
scizor,212,"['bug', 'steel']",red,bug-wings,70,130,100,55,80,65
shuckle,213,"['bug', 'rock']",yellow,armor,20,10,230,10,230,5
heracross,214,"['bug', 'fighting']",blue,humanoid,80,125,75,40,95,85
sneasel,215,"['dark', 'ice']",black,upright,55,95,55,35,75,115
teddiursa,216,['normal'],brown,upright,60,80,50,50,50,40
ursaring,217,['normal'],brown,upright,90,130,75,75,75,55
slugma,218,['fire'],red,squiggle,40,40,40,70,40,20
magcargo,219,"['fire', 'rock']",red,squiggle,60,50,120,90,80,30
swinub,220,"['ice', 'ground']",brown,quadruped,50,50,40,30,30,50
piloswine,221,"['ice', 'ground']",brown,quadruped,100,100,80,60,60,50
corsola,222,"['water', 'rock']",pink,armor,65,55,95,65,95,35
remoraid,223,['water'],gray,fish,35,65,35,65,35,65
octillery,224,['water'],red,tentacles,75,105,75,105,75,45
delibird,225,"['ice', 'flying']",red,wings,45,55,45,65,45,75
mantine,226,"['water', 'flying']",purple,wings,85,40,70,80,140,70
skarmory,227,"['steel', 'flying']",gray,wings,65,80,140,40,70,70
houndour,228,"['dark', 'fire']",black,quadruped,45,60,30,80,50,65
houndoom,229,"['dark', 'fire']",black,quadruped,75,90,50,110,80,95
kingdra,230,"['water', 'dragon']",blue,blob,75,95,95,95,95,85
phanpy,231,['ground'],blue,quadruped,90,60,60,40,40,40
donphan,232,['ground'],gray,quadruped,90,120,120,60,60,50
porygon2,233,['normal'],red,legs,85,80,90,105,95,60
stantler,234,['normal'],brown,quadruped,73,95,62,85,65,85
smeargle,235,['normal'],white,upright,55,20,35,20,45,75
tyrogue,236,['fighting'],purple,humanoid,35,35,35,35,35,35
hitmontop,237,['fighting'],brown,upright,50,95,95,35,110,70
smoochum,238,"['ice', 'psychic']",pink,humanoid,45,30,15,85,65,65
elekid,239,['electric'],yellow,humanoid,45,63,37,65,55,95
magby,240,['fire'],red,upright,45,75,37,70,55,83
miltank,241,['normal'],pink,upright,95,80,105,40,70,100
blissey,242,['normal'],pink,humanoid,255,10,10,75,135,55
raikou,243,['electric'],yellow,quadruped,90,85,75,115,100,115
entei,244,['fire'],brown,quadruped,115,115,85,90,75,100
suicune,245,['water'],blue,quadruped,100,75,115,90,115,85
larvitar,246,"['rock', 'ground']",green,upright,50,64,50,45,50,41
pupitar,247,"['rock', 'ground']",gray,squiggle,70,84,70,65,70,51
tyranitar,248,"['rock', 'dark']",green,upright,100,134,110,95,100,61
lugia,249,"['psychic', 'flying']",white,wings,106,90,130,90,154,110
ho-oh,250,"['fire', 'flying']",red,wings,106,130,90,110,154,90
celebi,251,"['psychic', 'grass']",green,humanoid,100,100,100,100,100,100
treecko,252,['grass'],green,upright,40,45,35,65,55,70
grovyle,253,['grass'],green,upright,50,65,45,85,65,95
sceptile,254,['grass'],green,upright,70,85,65,105,85,120
torchic,255,['fire'],red,legs,45,60,40,70,50,45
combusken,256,"['fire', 'fighting']",red,upright,60,85,60,85,60,55
blaziken,257,"['fire', 'fighting']",red,upright,80,120,70,110,70,80
mudkip,258,['water'],blue,quadruped,50,70,50,50,50,40
marshtomp,259,"['water', 'ground']",blue,upright,70,85,70,60,70,50
swampert,260,"['water', 'ground']",blue,upright,100,110,90,85,90,60
poochyena,261,['dark'],gray,quadruped,35,55,35,30,30,35
mightyena,262,['dark'],gray,quadruped,70,90,70,60,60,70
zigzagoon,263,['normal'],brown,quadruped,38,30,41,30,41,60
linoone,264,['normal'],white,quadruped,78,70,61,50,61,100
wurmple,265,['bug'],red,armor,45,45,35,20,30,20
silcoon,266,['bug'],white,ball,50,35,55,25,25,15
beautifly,267,"['bug', 'flying']",yellow,bug-wings,60,70,50,100,50,65
cascoon,268,['bug'],purple,ball,50,35,55,25,25,15
dustox,269,"['bug', 'poison']",green,bug-wings,60,50,70,50,90,65
lotad,270,"['water', 'grass']",green,armor,40,30,30,40,50,30
lombre,271,"['water', 'grass']",green,humanoid,60,50,50,60,70,50
ludicolo,272,"['water', 'grass']",green,humanoid,80,70,70,90,100,70
seedot,273,['grass'],brown,legs,40,40,50,30,30,30
nuzleaf,274,"['grass', 'dark']",brown,humanoid,70,70,40,60,40,60
shiftry,275,"['grass', 'dark']",brown,humanoid,90,100,60,90,60,80
taillow,276,"['normal', 'flying']",blue,wings,40,55,30,30,30,85
swellow,277,"['normal', 'flying']",blue,wings,60,85,60,75,50,125
wingull,278,"['water', 'flying']",white,wings,40,30,30,55,30,85
pelipper,279,"['water', 'flying']",yellow,wings,60,50,100,95,70,65
ralts,280,"['psychic', 'fairy']",white,humanoid,28,25,25,45,35,40
kirlia,281,"['psychic', 'fairy']",white,humanoid,38,35,35,65,55,50
gardevoir,282,"['psychic', 'fairy']",white,humanoid,68,65,65,125,115,80
surskit,283,"['bug', 'water']",blue,armor,40,30,32,50,52,65
masquerain,284,"['bug', 'flying']",blue,bug-wings,70,60,62,100,82,80
shroomish,285,['grass'],brown,legs,60,40,60,40,60,35
breloom,286,"['grass', 'fighting']",green,upright,60,130,80,60,60,70
slakoth,287,['normal'],brown,quadruped,60,60,60,35,35,30
vigoroth,288,['normal'],white,upright,80,80,80,55,55,90
slaking,289,['normal'],brown,humanoid,150,160,100,95,65,100
nincada,290,"['bug', 'ground']",gray,armor,31,45,90,30,30,40
ninjask,291,"['bug', 'flying']",yellow,bug-wings,61,90,45,50,50,160
shedinja,292,"['bug', 'ghost']",brown,blob,1,90,45,30,30,40
whismur,293,['normal'],pink,upright,64,51,23,51,23,28
loudred,294,['normal'],blue,upright,84,71,43,71,43,48
exploud,295,['normal'],blue,upright,104,91,63,91,73,68
makuhita,296,['fighting'],yellow,humanoid,72,60,30,20,30,25
hariyama,297,['fighting'],brown,humanoid,144,120,60,40,60,50
azurill,298,"['normal', 'fairy']",blue,legs,50,20,40,20,40,20
nosepass,299,['rock'],gray,humanoid,30,45,135,45,90,30
skitty,300,['normal'],pink,quadruped,50,45,45,35,35,50
delcatty,301,['normal'],purple,quadruped,70,65,65,55,55,90
sableye,302,"['dark', 'ghost']",purple,humanoid,50,75,75,65,65,50
mawile,303,"['steel', 'fairy']",black,humanoid,50,85,85,55,55,50
aron,304,"['steel', 'rock']",gray,quadruped,50,70,100,40,40,30
lairon,305,"['steel', 'rock']",gray,quadruped,60,90,140,50,50,40
aggron,306,"['steel', 'rock']",gray,upright,70,110,180,60,60,50
meditite,307,"['fighting', 'psychic']",blue,humanoid,30,40,55,40,55,60
medicham,308,"['fighting', 'psychic']",red,humanoid,60,60,75,60,75,80
electrike,309,['electric'],green,quadruped,40,45,40,65,40,65
manectric,310,['electric'],yellow,quadruped,70,75,60,105,60,105
plusle,311,['electric'],yellow,upright,60,50,40,85,75,95
minun,312,['electric'],yellow,upright,60,40,50,75,85,95
volbeat,313,['bug'],gray,upright,65,73,75,47,85,85
illumise,314,['bug'],purple,humanoid,65,47,75,73,85,85
roselia,315,"['grass', 'poison']",green,humanoid,50,60,45,100,80,65
gulpin,316,['poison'],green,arms,70,43,53,43,53,40
swalot,317,['poison'],purple,arms,100,73,83,73,83,55
carvanha,318,"['water', 'dark']",red,fish,45,90,20,65,20,65
sharpedo,319,"['water', 'dark']",blue,fish,70,120,40,95,40,95
wailmer,320,['water'],blue,fish,130,70,35,70,35,60
wailord,321,['water'],blue,fish,170,90,45,90,45,60
numel,322,"['fire', 'ground']",yellow,quadruped,60,60,40,65,45,35
camerupt,323,"['fire', 'ground']",red,quadruped,70,100,70,105,75,40
torkoal,324,['fire'],brown,quadruped,70,85,140,85,70,20
spoink,325,['psychic'],black,arms,60,25,35,70,80,60
grumpig,326,['psychic'],purple,upright,80,45,65,90,110,80
spinda,327,['normal'],brown,upright,60,60,60,60,60,60
trapinch,328,['ground'],brown,armor,45,100,45,45,45,10
vibrava,329,"['ground', 'dragon']",green,bug-wings,50,70,50,50,50,70
flygon,330,"['ground', 'dragon']",green,wings,80,100,80,80,80,100
cacnea,331,['grass'],green,humanoid,50,85,40,85,40,35
cacturne,332,"['grass', 'dark']",green,humanoid,70,115,60,115,60,55
swablu,333,"['normal', 'flying']",blue,wings,45,40,60,40,75,50
altaria,334,"['dragon', 'flying']",blue,wings,75,70,90,70,105,80
zangoose,335,['normal'],white,upright,73,115,60,60,60,90
seviper,336,['poison'],black,squiggle,73,100,60,100,60,65
lunatone,337,"['rock', 'psychic']",yellow,ball,90,55,65,95,85,70
solrock,338,"['rock', 'psychic']",red,ball,90,95,85,55,65,70
barboach,339,"['water', 'ground']",gray,fish,50,48,43,46,41,60
whiscash,340,"['water', 'ground']",blue,fish,110,78,73,76,71,60
corphish,341,['water'],red,armor,43,80,65,50,35,35
crawdaunt,342,"['water', 'dark']",red,armor,63,120,85,90,55,55
baltoy,343,"['ground', 'psychic']",brown,arms,40,40,55,40,70,55
claydol,344,"['ground', 'psychic']",black,arms,60,70,105,70,120,75
lileep,345,"['rock', 'grass']",purple,blob,66,41,77,61,87,23
cradily,346,"['rock', 'grass']",green,blob,86,81,97,81,107,43
anorith,347,"['rock', 'bug']",gray,armor,45,95,50,40,50,75
armaldo,348,"['rock', 'bug']",gray,upright,75,125,100,70,80,45
feebas,349,['water'],brown,fish,20,15,20,10,55,80
milotic,350,['water'],pink,squiggle,95,60,79,100,125,81
castform,351,['normal'],gray,ball,70,70,70,70,70,70
kecleon,352,['normal'],green,upright,60,90,70,60,120,40
shuppet,353,['ghost'],black,ball,44,75,35,63,33,45
banette,354,['ghost'],black,upright,64,115,65,83,63,65
duskull,355,['ghost'],black,arms,20,40,90,30,90,25
dusclops,356,['ghost'],black,humanoid,40,70,130,60,130,25
tropius,357,"['grass', 'flying']",green,quadruped,99,68,83,72,87,51
chimecho,358,['psychic'],blue,arms,75,50,80,95,90,65
absol,359,['dark'],white,quadruped,65,130,60,75,60,75
wynaut,360,['psychic'],blue,upright,95,23,48,23,48,23
snorunt,361,['ice'],gray,humanoid,50,50,50,50,50,50
glalie,362,['ice'],gray,ball,80,80,80,80,80,80
spheal,363,"['ice', 'water']",blue,fish,70,40,50,55,50,25
sealeo,364,"['ice', 'water']",blue,fish,90,60,70,75,70,45
walrein,365,"['ice', 'water']",blue,quadruped,110,80,90,95,90,65
clamperl,366,['water'],blue,ball,35,64,85,74,55,32
huntail,367,['water'],blue,squiggle,55,104,105,94,75,52
gorebyss,368,['water'],pink,squiggle,55,84,105,114,75,52
relicanth,369,"['water', 'rock']",gray,fish,100,90,130,45,65,55
luvdisc,370,['water'],pink,fish,43,30,55,40,65,97
bagon,371,['dragon'],blue,humanoid,45,75,60,40,30,50
shelgon,372,['dragon'],white,quadruped,65,95,100,60,50,50
salamence,373,"['dragon', 'flying']",blue,quadruped,95,135,80,110,80,100
beldum,374,"['steel', 'psychic']",blue,blob,40,55,80,35,60,30
metang,375,"['steel', 'psychic']",blue,arms,60,75,100,55,80,50
metagross,376,"['steel', 'psychic']",blue,heads,80,135,130,95,90,70
regirock,377,['rock'],brown,humanoid,80,100,200,50,100,50
regice,378,['ice'],blue,humanoid,80,50,100,100,200,50
registeel,379,['steel'],gray,humanoid,80,75,150,75,150,50
latias,380,"['dragon', 'psychic']",red,wings,80,80,90,110,130,110
latios,381,"['dragon', 'psychic']",blue,wings,80,90,80,130,110,110
kyogre,382,['water'],blue,fish,100,100,90,150,140,90
groudon,383,['ground'],red,upright,100,150,140,100,90,90
rayquaza,384,"['dragon', 'flying']",green,squiggle,105,150,90,150,90,95
jirachi,385,"['steel', 'psychic']",yellow,humanoid,100,100,100,100,100,100
deoxys-normal,386,['psychic'],red,humanoid,50,150,50,150,50,150
